date,storage,inflow,outflow
2000-01-01,1666419,593.0,6.5
2000-01-02,1667342,583.0,6.3
2000-01-03,1668573,621.0,6.1
2000-01-04,1669497,625.0,6.0
2000-01-05,1670730,623.0,5.8
2000-01-06,1672271,603.0,5.7
2000-01-07,1673506,649.0,5.6
2000-01-08,1674740,638.0,5.3
2000-01-09,1675976,547.0,5.2
2000-01-10,1676594,522.0,5.2
2000-01-11,1677831,595.0,5.2
2000-01-12,1679687,586.0,5.1
2000-01-13,1681545,569.0,5.1
2000-01-14,1683095,569.0,5.2
2000-01-15,1683715,577.0,5.1
2000-01-16,1685577,564.0,5.0
2000-01-17,1686198,524.0,5.1
2000-01-18,1687750,569.0,5.0
2000-01-19,1688994,620.0,6.0
2000-01-20,1690860,608.0,408.0
2000-01-21,1690860,586.0,634.0
2000-01-22,1690860,609.0,634.0
2000-01-23,1691483,656.0,634.0
2000-01-24,1691483,657.0,643.0
2000-01-25,1692106,720.0,653.0
2000-01-26,1692728,742.0,669.0
2000-01-27,1692106,826.0,628.0
2000-01-28,1692728,807.0,583.0
2000-01-29,1693351,899.0,582.0
2000-01-30,1693351,913.0,583.0
2000-01-31,1694598,874.0,587.0
2000-02-01,1695534,783.0,2110.0
2000-02-02,1692106,824.0,2750.0
2000-02-03,1688372,745.0,2710.0
2000-02-04,1684956,622.0,2830.0
2000-02-05,1681235,633.0,2100.0
2000-02-06,1677831,623.0,2080.0
2000-02-07,1674432,623.0,2720.0
2000-02-08,1671038,639.0,2360.0
2000-02-09,1667650,652.0,2070.0
2000-02-10,1664882,618.0,2060.0
2000-02-11,1662425,811.0,1990.0
2000-02-12,1661198,874.0,1700.0
2000-02-13,1659970,930.0,1670.0
2000-02-14,1658745,757.0,1490.0
2000-02-15,1657519,706.0,1690.0
2000-02-16,1656295,727.0,1680.0
2000-02-17,1654153,706.0,1670.0
2000-02-18,1652320,825.0,1670.0
2000-02-19,1650793,821.0,1650.0
2000-02-20,1648963,764.0,1670.0
2000-02-21,1647134,758.0,1660.0
2000-02-22,1645307,745.0,1660.0
2000-02-23,1643481,752.0,583.0
2000-02-24,1644698,709.0,618.0
2000-02-25,1644090,786.0,1630.0
2000-02-26,1641656,806.0,1620.0
2000-02-27,1640442,824.0,1630.0
2000-02-28,1638620,858.0,1640.0
2000-02-29,1636800,900.0,1640.0
2000-03-01,1634375,799.0,1630.0
2000-03-02,1633164,580.0,1630.0
2000-03-03,1631349,372.0,1620.0
2000-03-04,1629534,550.0,1620.0
2000-03-05,1627118,450.0,1630.0
2000-03-06,1625308,383.0,1640.0
2000-03-07,1622294,346.0,1630.0
2000-03-08,1619885,303.0,1640.0
2000-03-09,1618682,379.0,1640.0
2000-03-10,1617479,328.0,1640.0
2000-03-11,1614476,236.0,1630.0
2000-03-12,1612677,308.0,1630.0
2000-03-13,1610280,198.0,1630.0
2000-03-14,1608483,161.0,1640.0
2000-03-15,1606091,118.0,1650.0
2000-03-16,1603104,102.0,1660.0
2000-03-17,1601314,67.0,1660.0
2000-03-18,1598334,48.0,1520.0
2000-03-19,1594763,33.0,1660.0
2000-03-20,1591198,92.0,1670.0
2000-03-21,1589419,282.0,1660.0
2000-03-22,1590012,839.0,1600.0
2000-03-23,1591792,1170.0,1670.0
2000-03-24,1591792,1280.0,1650.0
2000-03-25,1591198,1370.0,1660.0
2000-03-26,1590605,1100.0,1680.0
2000-03-27,1590605,800.0,1650.0
2000-03-28,1590012,720.0,1640.0
2000-03-29,1588233,550.0,1640.0
2000-03-30,1585863,479.0,1650.0
2000-03-31,1583496,489.0,1680.0
2000-04-01,1581132,465.0,1630.0
2000-04-02,1579360,462.0,1640.0
2000-04-03,1579360,1470.0,1640.0
2000-04-04,1579951,823.0,1650.0
2000-04-05,1578770,512.0,1640.0
2000-04-06,1577001,377.0,1660.0
2000-04-07,1574644,279.0,1650.0
2000-04-08,1572289,192.0,1630.0
2000-04-09,1569350,177.0,1630.0
2000-04-10,1567589,187.0,1620.0
2000-04-11,1565829,164.0,1610.0
2000-04-12,1562899,241.0,1610.0
2000-04-13,1560557,168.0,1590.0
2000-04-14,1557635,111.0,1480.0
2000-04-15,1555299,128.0,1420.0
2000-04-16,1552967,138.0,1440.0
2000-04-17,1550637,114.0,1460.0
2000-04-18,1548310,136.0,1480.0
2000-04-19,1546566,182.0,1480.0
2000-04-20,1544824,200.0,1500.0
2000-04-21,1541344,212.0,1510.0
2000-04-22,1539028,179.0,1510.0
2000-04-23,1537870,234.0,1520.0
2000-04-24,1536713,237.0,1510.0
2000-04-25,1534979,334.0,1520.0
2000-04-26,1533247,234.0,1520.0
2000-04-27,1531516,151.0,1520.0
2000-04-28,1528635,116.0,1240.0
2000-04-29,1528059,93.0,733.0
2000-04-30,1527484,92.0,728.0
2000-05-01,1525183,94.0,716.0
2000-05-02,1525183,97.0,490.0
2000-05-03,1524895,81.0,723.0
2000-05-04,1524033,76.0,708.0
2000-05-05,1522884,79.0,709.0
2000-05-06,1521736,97.0,719.0
2000-05-07,1520014,76.0,725.0
2000-05-08,1518867,64.0,720.0
2000-05-09,1518294,91.0,723.0
2000-05-10,1517148,134.0,723.0
2000-05-11,1514858,147.0,725.0
2000-05-12,1515716,67.0,724.0
2000-05-13,1513714,58.0,722.0
2000-05-14,1511998,134.0,721.0
2000-05-15,1511427,145.0,720.0
2000-05-16,1509143,172.0,716.0
2000-05-17,1508002,198.0,708.0
2000-05-18,1507432,211.0,711.0
2000-05-19,1506291,200.0,1330.0
2000-05-20,1504013,159.0,1640.0
2000-05-21,1502874,151.0,1620.0
2000-05-22,1500031,150.0,1600.0
2000-05-23,1498895,132.0,1590.0
2000-05-24,1496624,121.0,1570.0
2000-05-25,1492656,72.0,1570.0
2000-05-26,1489827,67.0,1570.0
2000-05-27,1488131,97.0,1560.0
2000-05-28,1486436,75.0,1560.0
2000-05-29,1484179,101.0,1550.0
2000-05-30,1481924,74.0,1550.0
2000-05-31,1479109,89.0,1550.0
2000-06-01,1478546,61.0,1540.0
2000-06-02,1472929,58.0,1530.0
2000-06-03,1469005,106.0,1530.0
2000-06-04,1467886,64.0,1530.0
2000-06-05,1463971,71.0,1520.0
2000-06-06,1461738,301.0,1970.0
2000-06-07,1458391,297.0,2180.0
2000-06-08,1453382,201.0,2090.0
2000-06-09,1449493,154.0,2100.0
2000-06-10,1446166,152.0,1480.0
2000-06-11,1443951,150.0,1480.0
2000-06-12,1441185,139.0,1890.0
2000-06-13,1437318,194.0,2000.0
2000-06-14,1434561,228.0,2130.0
2000-06-15,1432358,220.0,2080.0
2000-06-16,1426859,186.0,1980.0
2000-06-17,1424115,169.0,1410.0
2000-06-18,1421649,142.0,1470.0
2000-06-19,1419185,131.0,1480.0
2000-06-20,1415086,167.0,2050.0
2000-06-21,1412629,191.0,2070.0
2000-06-22,1410175,175.0,2100.0
2000-06-23,1407723,171.0,2070.0
2000-06-24,1406090,164.0,1480.0
2000-06-25,1404458,124.0,1490.0
2000-06-26,1401741,123.0,1370.0
2000-06-27,1400654,115.0,1130.0
2000-06-28,1399026,120.0,1470.0
2000-06-29,1396857,204.0,1480.0
2000-06-30,1394689,252.0,1480.0
2000-07-01,1391442,255.0,1500.0
2000-07-02,1390901,240.0,1420.0
2000-07-03,1389819,230.0,1510.0
2000-07-04,1389279,210.0,1530.0
2000-07-05,1387118,200.0,1460.0
2000-07-06,1384959,170.0,1090.0
2000-07-07,1383341,134.0,1510.0
2000-07-08,1380108,84.0,1510.0
2000-07-09,1377956,71.0,1500.0
2000-07-10,1374730,60.0,1510.0
2000-07-11,1373119,63.0,1510.0
2000-07-12,1369900,52.0,1510.0
2000-07-13,1368292,73.0,1520.0
2000-07-14,1365079,61.0,1510.0
2000-07-15,1361871,113.0,1430.0
2000-07-16,1360268,101.0,1490.0
2000-07-17,1358134,108.0,1500.0
2000-07-18,1357068,149.0,1500.0
2000-07-19,1354936,125.0,1420.0
2000-07-20,1351744,114.0,1460.0
2000-07-21,1348556,104.0,1370.0
2000-07-22,1346964,60.0,1480.0
2000-07-23,1346964,50.0,70.0
2000-07-24,1344314,40.0,941.0
2000-07-25,1341666,25.0,2110.0
2000-07-26,1336382,10.0,2120.0
2000-07-27,1332692,4.0,2140.0
2000-07-28,1329008,80.0,2130.0
2000-07-29,1325331,65.0,2090.0
2000-07-30,1322185,80.0,2100.0
2000-07-31,1317997,113.0,2090.0
2000-08-01,1314863,100.0,2090.0
2000-08-02,1311212,89.0,2100.0
2000-08-03,1307567,79.0,2090.0
